,AgencyName,OrgType,Population,City,State,International,firecares_id,,,,
71,Sumter County Fire & EMS,Career,49000,Wildwood,FL,FALSE,96444,,,,
72,"Broward Sheriff's Office, Department of Fire Rescue and Emergency Services",Career,295713,Fort Lauderdale,FL,FALSE,75928,,,,
73,St. Petersburg Fire Rescue,Career,260000,St. Petersburg,FL,FALSE,94133,,,,
74,Cobb County Fire & Emergency Services,Career,700000,Marietta,GA,FALSE,78303,,,,
75,Moody AFB Fire Emergency Services,DoD,5500,Moody AFB,GA,FALSE,89141,,,,
76,Countryside Fire Protection District,Combination,36100,Vernon Hills,IL,FALSE,78871,,,,
77,Savannah Fire & Emergency Services,Career,144352,Savannah,GA,FALSE,94469,,,,
78,Covington Fire Department,Career,13118,Covington,GA,FALSE,78907,,,,
79,Culver City Fire Department,Career,39691,Culver City,CA,FALSE,79164,,,,
80,Gwinnett County Fire and Emergency Services,Career,938799,Lawrenceville,GA,FALSE,83355,,,,
81,Cunningham Fire Protection District,Career,76000,Denver,CO,FALSE,79190,,,,
82,Naval Submarine Base Kings Bay Fire and Emergency Services,DoD,9000,Kings Bay,GA,FALSE,90714,,,,
83,Kaiserslautern Military Communtiy Fire Emergency Services,DoD,,,Germany,TRUE,,,,,
84,Danville Fire Department,Career,43000,Danville,VA,FALSE,79338,,,,
85,Davenport Fire Department,Career,102448,Davenport,IA,FALSE,79382,,,,
86,Fox Crossing Fire Department,Combination,18741,Neenah,WI,FALSE,100244,,,,
87,Durham Fire Department,Career,251893,Durham,NC,FALSE,80084,,,,
88,El Paso Fire Department,Career,681124,El Paso,TX,FALSE,80595,,,,
89,F.E. Warren AFB Fire Emergency Services,DoD,10000,FE Warren AFB,WY,FALSE,73106,,,,
90,Fargo Fire Department,Career,118523,Fargo,ND,FALSE,81287,,,,
91,Fenton Fire Protection District,Career,27340,Fenton,MO,FALSE,81398,,,,
92,Fond du Lac Fire/Rescue,Career,43301,Fond Du Lac,WI,FALSE,81650,,,,
93,St. Charles Fire Department,Career,33202,Saint Charles,IL,FALSE,94075,,,,
94,Fort Bragg Fire and Emergency Services,DoD,227815,Fort Bragg,NC,FALSE,81743,,,,
95,Fort Drum Fire & Emergency Services,DoD,33271,Fort Drum,NY,FALSE,81756,,,,
